trail_id,trail,_geoloc,popularity,length,elevation_gain,difficulty_rating,route_type,avg_rating,num_reviews,features,activities,units,park_code
10005585,Half Dome Trail,"{'lat': 37.73465, 'lng': -119.56583}",52.5316,23818.232,1573.9872,7,out and back,5.0,1196,"['dogs-no', 'forest', 'partially-paved', 'river', 'views', 'waterfall', 'wild-flowers', 'wildlife']","['hiking', 'nature-trips', 'rock-climbing']",i,yose
10012319,The Loch Lake Trail via Glacier Gorge Trail,"{'lat': 40.31047, 'lng': -105.64035}",52.036,8690.436,326.7456,3,out and back,5.0,841,"['dogs-no', 'forest', 'lake', 'views', 'waterfall', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'snowshoeing', 'trail-running', 'walking', 'horseback-riding', 'fly-fishing']",i,romo
10259625,Navajo Loop and Queen's Garden Trail,"{'lat': 37.62328, 'lng': -112.16706}",52.0201,4184.284,189.8904,3,loop,5.0,1097,"['dogs-no', 'forest', 'kids', 'views', 'wildlife']","['birding', 'hiking', 'nature-trips', 'walking']",i,brca
10005697,Grinnell Glacier Trail,"{'lat': 48.79724, 'lng': -113.66887}",49.8766,18185.542,658.9776,5,out and back,5.0,1198,"['dogs-no', 'forest', 'lake', 'river', 'views', 'wild-flowers', 'wildlife']","['birding', 'fishing', 'hiking', 'nature-trips', 'fly-fishing']",i,glac
10007491,Tolmie Peak Trail,"{'lat': 46.93736, 'lng': -121.8677}",49.5524,8851.37,463.9056,3,out and back,4.5,873,"['dogs-no', 'forest', 'lake', 'views', 'wild-flowers', 'wildlife']","['hiking', 'nature-trips']",i,mora
10234019,Chimney Tops Trail,"{'lat': 35.63544, 'lng': -83.46976}",49.5063,5793.624,392.8872,5,out and back,4.5,1347,"['dogs-no', 'forest', 'river', 'views', 'wild-flowers', 'wildlife']","['backpacking', 'hiking', 'nature-trips', 'rock-climbing']",i,grsm
10012848,Avalanche Lake via the Trail of the Cedars,"{'lat': 48.68007, 'lng': -113.81912}",49.4404,9173.238,227.9904,3,out and back,4.5,1465,"['ada', 'dogs-no', 'forest', 'lake', 'kids', 'river', 'strollers', 'views', 'waterfall', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'skiing', 'trail-running', 'walking', 'cross-country-skiing']",i,glac
10031204,Alberta Falls Trail,"{'lat': 40.31052, 'lng': -105.64034}",45.8306,2574.944,76.8096,1,out and back,4.5,866,"['dogs-no', 'forest', 'kids', 'river', 'views', 'waterfall', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'snowshoeing', 'trail-running', 'walking', 'horseback-riding']",i,romo
10023187,Skyline Trail,"{'lat': 46.78647, 'lng': -121.73641}",45.1568,8529.502,535.8384,3,loop,5.0,1080,"['dogs-no', 'forest', 'partially-paved', 'river', 'views', 'waterfall', 'wild-flowers', 'wildlife']","['backpacking', 'camping', 'hiking']",i,mora
10000685,Rainbow Falls Trail,"{'lat': 35.67592, 'lng': -83.48668}",45.0827,8851.37,503.8344,3,out and back,4.5,1107,"['dogs-no', 'forest', 'river', 'views', 'waterfall', 'wild-flowers', 'wildlife']","['backpacking', 'birding', 'hiking', 'nature-trips', 'trail-running', 'walking']",i,grsm
10026711,Chasm Lake,"{'lat': 40.27267, 'lng': -105.55684}",44.9877,15127.796,792.7848,5,out and back,5.0,888,"['dogs-no', 'forest', 'lake', 'river', 'views', 'waterfall', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'snowshoeing', 'trail-running', 'horseback-riding']",i,romo
10014357,Zion Canyon Overlook Trail,"{'lat': 37.21324, 'lng': -112.94058}",44.8887,1609.34,64.9224,3,out and back,4.5,984,"['cave', 'dogs-no', 'forest', 'kids', 'views', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'trail-running', 'walking']",i,zion
10002171,Grotto Falls Trail,"{'lat': 35.68027, 'lng': -83.46261}",44.5689,4184.284,162.7632,3,out and back,4.5,1109,"['dogs-no', 'forest', 'kids', 'river', 'views', 'waterfall', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'walking']",i,grsm
10264164,Dream Lake Trail,"{'lat': 40.31194, 'lng': -105.64562}",44.3632,3218.68,129.8448,1,out and back,4.5,883,"['dogs-no', 'forest', 'lake', 'kids', 'partially-paved', 'views', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'rock-climbing', 'skiing', 'snowshoeing', 'walking']",i,romo
10026952,Moro Rock Trail,"{'lat': 36.54685, 'lng': -118.76565}",44.1235,643.736,56.9976,3,out and back,4.5,701,"['dogs-no', 'river', 'views', 'waterfall', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'rock-climbing', 'walking']",i,seki
10031103,Devils Garden Loop Trail with 7 Arches,"{'lat': 38.78271, 'lng': -109.59429}",44.0494,12070.05,325.8312,5,loop,5.0,1067,"['cave', 'dogs-no', 'partially-paved', 'views', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'snowshoeing', 'trail-running']",i,arch
10006208,The Beehive Loop Trail,"{'lat': 44.33153, 'lng': -68.1852}",43.9161,2253.076,148.7424,5,loop,5.0,1123,"['beach', 'dogs-no', 'forest', 'lake', 'views', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'rock-climbing']",i,acad
10011926,Lower Yosemite Falls Trail,"{'lat': 37.74587, 'lng': -119.59266}",43.3499,1609.34,15.8496,1,loop,4.5,925,"['ada', 'dogs-leash', 'forest', 'kids', 'partially-paved', 'river', 'strollers', 'views', 'waterfall', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'trail-running', 'walking']",i,yose
10032304,Hurricane Hill via Hurricane Ridge,"{'lat': 47.97651, 'lng': -123.5178}",42.0778,4988.954,242.9256,3,out and back,4.5,621,"['dogs-no', 'forest', 'partially-paved', 'river', 'views', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'snowshoeing']",i,olym
10241534,Iceberg Lake Trail,"{'lat': 48.79961, 'lng': -113.67921}",41.1262,14966.862,441.96,3,out and back,5.0,806,"['beach', 'dogs-no', 'forest', 'lake', 'river', 'views', 'waterfall', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'walking']",i,glac
10243771,Laurel Falls Trail,"{'lat': 35.6719, 'lng': -83.58062}",39.9339,3862.416,120.7008,1,out and back,4.0,1316,"['dogs-no', 'forest', 'kids', 'paved', 'views', 'waterfall', 'wildlife']","['birding', 'hiking', 'nature-trips', 'walking']",i,grsm
10000719,Cascade Canyon Trail,"{'lat': 43.7672, 'lng': -110.74426}",39.53,15610.598,343.8144,3,out and back,5.0,669,"['dogs-no', 'forest', 'lake', 'river', 'views', 'waterfall', 'wild-flowers', 'wildlife']","['camping', 'hiking']",i,grte
10238357,Bear Lake Nature Trail,"{'lat': 40.31191, 'lng': -105.64577}",39.0729,1126.538,12.8016,1,loop,4.5,724,"['ada', 'dogs-no', 'forest', 'lake', 'kids', 'paved', 'river', 'strollers', 'views', 'waterfall', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'walking', 'snowboarding']",i,romo
10235698,Twin Sisters Peak Trail,"{'lat': 40.30648, 'lng': -105.53711}",38.7945,12070.05,766.8768,5,out and back,4.5,824,"['dogs-no', 'forest', 'views', 'wildlife']","['hiking', 'snowshoeing', 'horseback-riding']",i,romo
10035513,Ouzel Falls via Wild Basin Trail from Sandbeach Lake,"{'lat': 40.21337, 'lng': -105.55047}",38.7433,11909.116,361.7976,3,out and back,4.5,614,"['dogs-no', 'forest', 'river', 'views', 'waterfall', 'wild-flowers', 'wildlife']","['hiking', 'snowshoeing', 'trail-running', 'horseback-riding']",i,romo
10027503,Clouds Rest Trail via Tenaya Lake,"{'lat': 37.82585, 'lng': -119.47046}",38.5795,19794.882,948.8424,5,out and back,5.0,685,"['dogs-no', 'forest', 'lake', 'views', 'wild-flowers', 'wildlife']","['backpacking', 'birding', 'camping', 'hiking', 'nature-trips', 'trail-running', 'horseback-riding']",i,yose
10018951,Fairyland Loop Trail,"{'lat': 37.64927, 'lng': -112.14717}",38.4225,11909.116,469.6968,3,loop,5.0,830,"['dogs-no', 'forest', 'partially-paved', 'views', 'wildlife']","['birding', 'hiking', 'nature-trips', 'walking']",i,brca
10233267,Abrams Falls Trail,"{'lat': 35.59095, 'lng': -83.85201}",38.2789,7885.766,191.7192,3,out and back,4.5,965,"['dogs-no', 'forest', 'river', 'views', 'waterfall', 'wild-flowers', 'wildlife']",['hiking'],i,grsm
10010560,Four Mile Trail,"{'lat': 37.73388, 'lng': -119.60185}",38.2519,12070.05,998.8296,7,out and back,5.0,754,"['dogs-no', 'forest', 'river', 'views', 'waterfall', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'trail-running']",i,yose
10033597,Clingmans Dome Observation Tower Trail,"{'lat': 35.55689, 'lng': -83.4961}",38.1531,1931.208,100.8888,1,out and back,4.5,943,"['dogs-no', 'forest', 'kids', 'paved', 'views', 'wild-flowers', 'wildlife']","['birding', 'nature-trips', 'walking']",i,grsm
10010318,Deer Mountain Trail,"{'lat': 40.3868, 'lng': -105.60978}",37.8313,9012.304,426.72,3,out and back,4.5,927,"['dogs-no', 'forest', 'views', 'wildlife']","['birding', 'hiking', 'nature-trips', 'walking', 'horseback-riding']",i,romo
10031426,Sentinel Dome Trail,"{'lat': 37.71243, 'lng': -119.58632}",37.5768,3379.614,138.9888,1,out and back,5.0,577,"['forest', 'views', 'wild-flowers', 'wildlife']","['hiking', 'trail-running']",i,yose
10187810,Bright Angel Trail to Bright Angel Campground and River Trail,"{'lat': 36.05735, 'lng': -112.14381}",37.4791,28485.318,1525.8288,5,out and back,5.0,670,"['dogs-no', 'river', 'views', 'wild-flowers', 'wildlife']","['backpacking', 'camping', 'hiking', 'nature-trips']",i,grca
10012660,The Watchman Trail,"{'lat': 37.2009, 'lng': -112.9858}",37.4735,4988.954,196.9008,3,loop,4.5,941,"['dogs-no', 'kids', 'river', 'views', 'wild-flowers', 'wildlife']","['birding', 'camping', 'hiking', 'nature-trips', 'trail-running', 'walking']",i,zion
10033113,Glacier Point Trail,"{'lat': 37.72765, 'lng': -119.57432}",37.4664,965.604,71.9328,1,out and back,4.5,344,"['ada', 'dogs-leash', 'forest', 'kids', 'paved', 'strollers', 'views', 'waterfall', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'snowshoeing', 'walking', 'cross-country-skiing']",i,yose
10000669,Hidden Lake Trail,"{'lat': 48.69563, 'lng': -113.71716}",37.2892,8529.502,418.7952,3,out and back,4.5,647,"['dogs-no', 'forest', 'lake', 'kids', 'views', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'snowshoeing']",i,glac
10276593,Vernal Falls,"{'lat': 37.73257, 'lng': -119.55916}",37.2129,5954.558,406.908,3,out and back,5.0,1107,"['forest', 'partially-paved', 'river', 'views', 'waterfall']","['backpacking', 'birding', 'camping', 'hiking', 'nature-trips', 'walking']",i,yose
10011170,Ryan Mountain Trail,"{'lat': 34.00264, 'lng': -116.13594}",37.0218,4828.02,325.8312,3,out and back,4.5,917,"['dogs-no', 'kids', 'views', 'wild-flowers', 'wildlife']",['hiking'],i,jotr
10001445,Double Arch Trail,"{'lat': 38.68831, 'lng': -109.53835}",36.8536,804.67,9.7536,1,out and back,4.5,546,"['dogs-no', 'kids', 'views', 'wild-flowers']","['hiking', 'nature-trips', 'walking']",i,arch
10111322,Charlies Bunion via Appalachian Trail,"{'lat': 35.61098, 'lng': -83.42475}",36.7769,13840.324,603.8088,3,out and back,4.5,642,"['dogs-no', 'forest', 'views', 'wild-flowers', 'wildlife']","['backpacking', 'birding', 'camping', 'hiking', 'nature-trips', 'trail-running', 'walking']",i,grsm
10004378,Mount Storm King,"{'lat': 48.05809, 'lng': -123.78918}",36.5259,6276.426,638.8608,5,out and back,5.0,710,"['dogs-no', 'forest', 'lake', 'river', 'views', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'trail-running']",i,olym
10016964,South Kaibab Trail to Cedar Ridge,"{'lat': 36.05346, 'lng': -112.08361}",36.2709,4988.954,358.7496,3,out and back,5.0,489,"['cave', 'dogs-no', 'forest', 'partially-paved', 'views', 'wild-flowers', 'wildlife']","['birding', 'camping', 'hiking', 'nature-trips', 'walking', 'horseback-riding']",i,grca
10032796,Mesa Arch Trail,"{'lat': 38.38925, 'lng': -109.86797}",36.2363,965.604,18.8976,1,loop,4.5,725,"['dogs-no', 'kids', 'views', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'walking']",i,cany
10235918,Peekaboo Loop Trail,"{'lat': 37.60483, 'lng': -112.1575}",35.875,8368.568,442.8744,3,loop,5.0,617,"['dogs-no', 'forest', 'river', 'views', 'wildlife']","['birding', 'hiking', 'nature-trips', 'horseback-riding']",i,brca
10040223,The Subway Trail,"{'lat': 37.2847, 'lng': -113.09581}",35.6908,11265.38,397.764,5,out and back,5.0,432,"['dogs-no', 'river', 'views', 'waterfall']","['hiking', 'nature-trips', 'rock-climbing']",i,zion
10016424,Sol Duc Falls Nature Trail,"{'lat': 47.95482, 'lng': -123.83476}",35.5599,2574.944,77.724,1,out and back,4.5,531,"['dogs-no', 'forest', 'lake', 'kids', 'river', 'views', 'waterfall', 'wild-flowers', 'wildlife']","['birding', 'camping', 'hiking', 'nature-trips', 'walking']",i,olym
10241253,Highline Trail - Logan Pass to Granite Park Chalet,"{'lat': 48.69603, 'lng': -113.71782}",35.4711,23979.166,785.7744,5,out and back,5.0,543,"['dogs-no', 'forest', 'river', 'views', 'wild-flowers', 'wildlife']","['backpacking', 'birding', 'camping', 'hiking', 'nature-trips', 'trail-running']",i,glac
10112236,White Oak Canyon and Cedar Run Trails Loop,"{'lat': 38.53906, 'lng': -78.34808}",35.1737,14484.06,722.9856,5,loop,4.5,624,"['dogs-leash', 'forest', 'river', 'views', 'waterfall', 'wild-flowers', 'wildlife']","['hiking', 'nature-trips']",i,shen
10006042,Cadillac North Ridge Trail,"{'lat': 44.37854, 'lng': -68.22954}",34.8209,6437.36,340.7664,3,out and back,4.5,679,"['dogs-leash', 'forest', 'kids', 'partially-paved', 'views', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'trail-running', 'walking']",i,acad
10035982,Hoh Rain Forest Hall of Moss,"{'lat': 47.86023, 'lng': -123.9345}",34.6194,1609.34,23.7744,1,loop,4.5,684,"['ada', 'dogs-no', 'forest', 'kids', 'partially-paved', 'strollers', 'views', 'wild-flowers', 'wildlife']","['birding', 'camping', 'hiking', 'nature-trips', 'trail-running', 'walking']",i,olym
10014578,Marymere Falls Trail,"{'lat': 48.05808, 'lng': -123.78914}",34.5807,2735.878,90.8304,1,out and back,4.5,609,"['dogs-no', 'forest', 'lake', 'kids', 'river', 'views', 'waterfall', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'walking']",i,olym
10041185,Lake Haiyaha,"{'lat': 40.3119, 'lng': -105.64607}",34.4488,5793.624,257.8608,3,out and back,4.5,448,"['dogs-no', 'forest', 'lake', 'kids', 'partially-paved', 'views', 'waterfall', 'wildlife']","['birding', 'fishing', 'hiking', 'nature-trips', 'walking']",i,romo
10235913,Mirror Lake via Valley Loop Trail,"{'lat': 37.73889, 'lng': -119.56914}",34.1675,9012.304,101.8032,1,loop,4.0,622,"['ada', 'dogs-no', 'forest', 'lake', 'kids', 'paved', 'river', 'strollers', 'views', 'waterfall', 'wildlife']","['hiking', 'walking']",i,yose
10112225,Weeping Rock Trail,"{'lat': 37.27096, 'lng': -112.93868}",34.0526,482.802,23.7744,1,out and back,4.0,740,"['ada', 'dogs-no', 'kids', 'paved', 'river', 'strollers', 'views', 'waterfall', 'wild-flowers', 'wildlife']","['hiking', 'walking']",i,zion
10264003,Zion Narrows Trail to Imlay Temple and Big Spring,"{'lat': 37.28529, 'lng': -112.94771}",33.9931,13840.324,1268.8824,5,out and back,5.0,620,"['dogs-no', 'partially-paved', 'river', 'views', 'wildlife']","['backpacking', 'camping', 'hiking', 'walking']",i,zion
10004045,Comet and Christine Falls,"{'lat': 46.77868, 'lng': -121.7839}",33.916,6920.162,610.8192,3,out and back,4.5,433,"['dogs-no', 'forest', 'river', 'views', 'waterfall', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'walking']",i,mora
10235870,Jenny Lake Trail,"{'lat': 43.75094, 'lng': -110.72384}",33.823,12391.918,221.8944,3,loop,4.5,602,"['beach', 'dogs-no', 'forest', 'lake', 'river', 'views', 'waterfall', 'wild-flowers', 'wildlife']","['hiking', 'snowshoeing']",i,grte
10031203,"Mills Lake, Black Lake, Frozen Lake Trail","{'lat': 40.31051, 'lng': -105.6403}",33.4693,17702.74,770.8392,5,out and back,5.0,397,"['dogs-no', 'forest', 'lake', 'river', 'views', 'waterfall', 'wild-flowers', 'wildlife']","['hiking', 'snowshoeing', 'cross-country-skiing']",i,romo
10005997,Pipiwai Trail and Waimoku Falls,"{'lat': 20.66233, 'lng': -156.04445}",33.3147,5471.756,249.936,3,out and back,5.0,697,"['dogs-no', 'forest', 'river', 'views', 'waterfall', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'trail-running', 'walking']",m,hale
10218246,Lower Emerald Pool Trail,"{'lat': 37.25093, 'lng': -112.95726}",33.2792,2092.142,34.7472,1,out and back,4.0,814,"['dogs-no', 'kids', 'partially-paved', 'river', 'views', 'waterfall', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'trail-running', 'walking']",i,zion
10237812,Three-Mile Resthouse via Bright Angel Trail,"{'lat': 36.05701, 'lng': -112.14414}",33.256,8690.436,635.8128,5,out and back,4.5,454,"['dogs-no', 'river', 'views', 'wild-flowers', 'wildlife']","['backpacking', 'birding', 'hiking', 'nature-trips']",i,grca
10011474,Emerald Pools Trail,"{'lat': 37.25214, 'lng': -112.95615}",33.0107,4667.086,184.7088,1,out and back,4.0,605,"['dogs-no', 'kids', 'partially-paved', 'river', 'views', 'waterfall', 'wild-flowers', 'wildlife']","['hiking', 'walking']",i,zion
10111290,Camp Muir Route Via Skyline Trail,"{'lat': 46.78616, 'lng': -121.73599}",32.9757,13518.456,1403.9088,7,out and back,5.0,455,"['dogs-no', 'forest', 'river', 'views', 'waterfall', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'rock-climbing', 'skiing', 'snowshoeing', 'snowboarding']",i,mora
10043053,Fern Lake Trail,"{'lat': 40.35486, 'lng': -105.63112}",32.9579,11426.314,442.8744,3,out and back,4.5,522,"['dogs-no', 'forest', 'lake', 'river', 'views', 'waterfall', 'wild-flowers', 'wildlife']","['birding', 'fishing', 'hiking', 'nature-trips', 'trail-running', 'walking', 'horseback-riding']",i,romo
10026962,Tokopah Falls via Tokopah Valley Trail,"{'lat': 36.60485, 'lng': -118.72401}",32.7913,6437.36,194.7672,3,out and back,4.5,496,"['dogs-no', 'forest', 'kids', 'partially-paved', 'river', 'views', 'waterfall', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'trail-running', 'walking']",i,seki
10007877,Burroughs Mountain Loop Trail,"{'lat': 46.9142, 'lng': -121.64181}",32.6879,15127.796,780.8976,3,loop,5.0,424,"['dogs-no', 'forest', 'lake', 'views', 'wild-flowers', 'wildlife']","['backpacking', 'birding', 'camping', 'hiking', 'nature-trips', 'trail-running', 'walking']",i,mora
10028848,Lassen Peak,"{'lat': 40.47458, 'lng': -121.5057}",32.6439,8207.634,599.8464,5,out and back,5.0,614,"['dogs-no', 'forest', 'lake', 'hot-springs', 'river', 'views', 'wild-flowers', 'wildlife']","['birding', 'camping', 'hiking', 'nature-trips', 'rock-climbing', 'trail-running', 'cross-country-skiing']",i,lavo
10249728,Bridal Veil Falls via Cow Creek Trail,"{'lat': 40.43087, 'lng': -105.50054}",32.0935,9816.974,293.8272,3,out and back,4.5,476,"['dogs-no', 'forest', 'views', 'waterfall', 'wild-flowers', 'wildlife']","['hiking', 'snowshoeing', 'trail-running', 'horseback-riding']",i,romo
10009973,Navajo Loop Trail,"{'lat': 37.62339, 'lng': -112.16718}",32.0861,2253.076,139.9032,3,loop,4.5,451,"['dogs-no', 'forest', 'kids', 'views']","['hiking', 'nature-trips', 'walking']",i,brca
10003564,Naches Peak Loop Trail,"{'lat': 46.86978, 'lng': -121.51945}",31.759,5310.822,193.8528,1,loop,4.5,520,"['dogs-no', 'forest', 'lake', 'kids', 'views', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'trail-running', 'walking', 'horseback-riding']",i,mora
10008944,Taggart Lake Loop,"{'lat': 43.69309, 'lng': -110.73286}",31.7082,6598.294,130.7592,1,loop,4.5,575,"['dogs-no', 'forest', 'lake', 'river', 'views', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'trail-running', 'horseback-riding']",i,grte
10112141,The Keyhole and Longs Peak via Longs Peak Trail,"{'lat': 40.27212, 'lng': -105.55682}",31.6959,11909.116,1496.8728,5,out and back,5.0,550,"['dogs-no', 'lake', 'river', 'views', 'wild-flowers', 'wildlife']","['backpacking', 'hiking', 'snowshoeing', 'cross-country-skiing', 'horseback-riding']",i,romo
10245012,"South Kaibab, Phantom Ranch, and Bright Angel Trail Loop ","{'lat': 36.05344, 'lng': -112.08364}",31.6323,26875.978,1400.8608,5,point to point,5.0,519,"['dogs-no', 'river', 'views', 'waterfall', 'wild-flowers', 'wildlife']","['backpacking', 'birding', 'camping', 'hiking', 'nature-trips']",i,grca
10031466,Mist Falls Trail,"{'lat': 36.79495, 'lng': -118.58315}",31.6191,13035.654,270.9672,3,out and back,5.0,315,"['dogs-no', 'forest', 'river', 'views', 'waterfall', 'wild-flowers', 'wildlife']","['birding', 'fishing', 'hiking', 'horseback-riding']",i,seki
10002866,Ramsey Cascades Trail,"{'lat': 35.70272, 'lng': -83.35747}",31.48,13035.654,677.8752,5,out and back,4.5,570,"['dogs-no', 'forest', 'river', 'views', 'waterfall']","['hiking', 'fly-fishing']",i,grsm
10026864,"Mystic Falls, Fairy Creek and Little Firehole Loop","{'lat': 44.48515, 'lng': -110.85207}",31.393,5632.69,184.7088,3,loop,4.5,305,"['dogs-no', 'forest', 'kids', 'hot-springs', 'river', 'views', 'waterfall', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'trail-running', 'walking']",i,yell
10006090,"Heather Lake, Emerald Lake, and Pear Lake Trail via Watchtower and Pear Lake Trails","{'lat': 36.59655, 'lng': -118.73438}",31.3838,18990.212,887.8824,5,out and back,5.0,315,"['dogs-no', 'forest', 'lake', 'views', 'waterfall', 'wild-flowers', 'wildlife']","['backpacking', 'birding', 'camping', 'fishing', 'hiking', 'nature-trips', 'fly-fishing']",i,seki
10028187,Guadalupe Peak Texas Highpoint Trail,"{'lat': 31.89666, 'lng': -104.82815}",31.1233,13035.654,873.8616,5,out and back,5.0,733,"['dogs-no', 'forest', 'views', 'wildlife']","['backpacking', 'birding', 'camping', 'hiking', 'nature-trips']",i,gumo
10241910,Jordan Pond Full Loop Trail,"{'lat': 44.322, 'lng': -68.25437}",31.0667,5471.756,28.956,3,loop,4.5,578,"['dogs-leash', 'forest', 'lake', 'kids', 'partially-paved', 'views', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'trail-running']",i,acad
10028391,Bierstadt Lake Loop Trail,"{'lat': 40.32048, 'lng': -105.62367}",31.0555,5149.888,190.8048,3,loop,4.5,496,"['dogs-no', 'lake', 'kids', 'views', 'wildlife']","['birding', 'hiking', 'snowshoeing', 'trail-running', 'walking', 'horseback-riding']",i,romo
10013895,Spray Park Trail to Mount Pleasant,"{'lat': 46.93268, 'lng': -121.8634}",30.8714,11104.446,635.8128,3,out and back,4.5,294,"['dogs-no', 'forest', 'lake', 'views', 'waterfall', 'wild-flowers', 'wildlife']","['hiking', 'walking']",i,mora
10000324,Dark Hollow Falls Trail,"{'lat': 38.51971, 'lng': -78.43083}",30.6744,2253.076,171.9072,3,out and back,4.5,633,"['beach', 'dogs-no', 'forest', 'kids', 'views', 'waterfall', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'walking']",i,shen
10259284,Peregrine Peak via Alum Cave Bluffs Trail,"{'lat': 35.62874, 'lng': -83.45078}",30.6655,6759.228,322.7832,3,out and back,5.0,447,"['dogs-no', 'forest', 'kids', 'views', 'wild-flowers', 'wildlife']","['hiking', 'nature-trips']",i,grsm
