park_code,park_name,fee_per_car,fee_per_person,street_address,city,state,zip_code,phone_number,email_address,lat,lng,Weather Summary,num_of_trails,avg_difficulty,avg_rating
apco,Appomattox Court House National Historical Park,0,0,Appomattox Court House National Historical Park,Appomattox,VA,24522,N/A,APCO_SocialMedia@nps.gov,37.38022164,-78.79856982,"The park may close due to emergency weather conditions (typically snow or ice). For updated information about possible closure or altered hours due to weather, please call 434-352-8987 ext. 245.",0.0,0.0,0.0
arch,Arches National Park,30.00,15.00,"5 miles north of Moab, Utah, on US 191",Moab,UT,84532,4357192299,archinfo@nps.gov,38.72261844,-109.5863666,"Arches is part of the Colorado Plateau, a ""high desert"" region that experiences wide temperature fluctuations, sometimes over 40 degrees in a single day. The temperate (and most popular) seasons are spring (April-May) and fall (mid-September-October), when daytime highs average 60 to 80 F and lows average 30 to 50 F. Summer temperatures often exceed 100 F, making strenuous exercise difficult. Winters are cold, with highs averaging 30 to 50 F, and lows averaging 0 to 20 F.",34.0,1.9411764705882353,4.397058823529412
arpo,Arkansas Post National Memorial,0,0,1741 Old Post Road,Gillett,AR,72055,N/A,teresa_donaldson@nps.gov,34.00389998,-91.30837178,"Arkansas shares the same climate classification as the rest of the southeastern United States: humid subtropical. This type of climate features relatively mild winters and hot, steamy summers.",0.0,0.0,0.0
asis,Assateague Island National Seashore,25.00,10.00,7206 National Seashore Lane,Berlin,MD,21811,4106411441,asis_information@nps.gov,38.05593172,-75.24524611,"Spring: Often windy and cool with lows in the 40's and highs in the 60's. Summer: Hot and humid with lows in the 60's and highs in the 80's. Fall: Warm with lows in the 50's and highs in the 70's. Winter: Damp cold and often windy. Lows in the 20's, highs in the 40's.",0.0,0.0,0.0
azru,Aztec Ruins National Monument,0,0,725 Ruins Road,Aztec,NM,87410,N/A,azru_information@nps.gov,36.83682216,-107.9999245,"Summer High temperatures range between 80°F and 99°F degrees with a few days over 100°F. Afternoon thunderstorms usually cool things down in late July and August. Fall Usually pleasant, with mild days and crisp nights. Winter Daytime temperatures range between 20°F and 50°F with cold nights that can reach 0°F. Snow is periodic, but accumulations are typically only 1-2 inches. Spring Weather is especially unpredictable: it can be windy, cold, and wet, or still, warm, and dry.",0.0,0.0,0.0
badl,Badlands National Park,30.00,25.00,25216 Ben Reifel Road,Interior,SD,57750,6054335361,badl_information@nps.gov,43.68584846,-102.482942,The Badlands weather is variable and unpredictable with temperature extremes ranging from 116° F to -40° F. Summers are hot and dry with occasional violent thunderstorms. Hailstorms and occasional tornadoes can descend on the Badlands with sudden fury. Winters are typically cold with 12 to 24 inches of total snowfall.,9.0,2.3333333333333335,4.166666666666667
band,Bandelier National Monument,25.00,15.00,Bandelier National Monument,Los Alamos,NM,87544,5056723861,band_visitor_center@nps.gov,35.77898596,-106.3317124,"Spring daytime temperatures in the 70's can be followed by a snow storm with wet heavy snow and daytime temperatures in the 40's. Summers are dry with June usually being the hottest month of the year. Days in July, August and September often end with thunderstorms that can drop heavy localized rain and are often accompanied by lightning. Autumn weather is usually sunny with blue skies and warm (but not hot) days and cool nights. Winter average snowfall 25"". Snow and ice can close trails and roads.",0.0,0.0,0.0
beol,Bent's Old Fort National Historic Site,0,0,35110 State Highway 194,La Junta,CO,81050,N/A,beol_interpretation@nps.gov,38.03977546,-103.4266499,"Summer temperatures are are often in the high 90s and low 100s. Weather is generally fair in the fall and spring. Winter temperatures can be below freezing. Most of the fort is unheated and does not have modern cooling systems, so dress accordingly.",0.0,0.0,0.0
bela,Bering Land Bridge National Preserve,0,0,214 Front St.,Nome,AK,99762,N/A,bela_interpretation@nps.gov,65.96087902,-164.4086432,"Weather in the Seward Peninsula is generally characterized by long freezing winters and short, cool summers. Coastal areas typically have mild weather, while the interior has greater seasonal variation in temperature and precipitation.",0.0,0.0,0.0
bibe,Big Bend National Park,30.00,12.00,1 Panther Junction,Big Bend National Park,TX,79834,432-477-2251,bibe_info@nps.gov,29.29817767,-103.2297897,"Big Bend is a desert park, so be prepared for extreme conditions. SPRING: From February through April the park abounds with pleasant and comfortable temperatures. SUMMER: May through September is very hot. Temperatures will exceed 100 degrees in the lower elevations by late morning, and often exceed 110 along the Rio Grande. Afternoon thunderstorms can be a welcome respite. WINTER: October through January temperatures are cooler; the weather can quickly turn cold at any time during these months.",44.0,2.5,4.238636363636363
bicy,Big Cypress National Preserve,0,0,33100 Tamiami Trail East,Ochopee,FL,34141,N/A,bicy_information@nps.gov,25.97079602,-81.08120629,"Big Cypress National Preserve experiences two predominant seasons- wet and dry. RAINY SEASON (May through October) While visiting during this season you may find daily afternoon thunderstorms, high humidity, temperatures in the mid-to-high 80s and a multitude of mosquitoes. DRY SEASON (November through April) Falling water levels within Big Cypress make this a pleasant time to hike, camp, and watch wildlife.",0.0,0.0,0.0
biho,Big Hole National Battlefield,0,0,16425 Highway 43 West,Wisdom,MT,59761,N/A,biho_visitor_information@nps.gov,45.64647324,-113.6458443,"This climatic region is typified by large seasonal temperature differences, with warm to hot (and often humid) summers and cold (sometimes severely cold) winters. Wisdom has a humid continental climate.",0.0,0.0,0.0
biso,Big South Fork National River & Recreation Area,0,0,4564 Leatherwood Road,Oneida,TN,37841,N/A,biso_information@nps.gov,36.5348388,-84.66506688,"The weather along the Cumberland Plateau can be best described as unpredictable. Each season brings its own weather patterns. Summers are generally hot and humid, with high temperatures sometimes eclipsing 90 degrees. The low temperatures in winter often dip below freezing. Spring sees the most amount of precipitation, but rainfall can occur in various amounts throughout the year.",0.0,0.0,0.0
bith,Big Thicket National Preserve,0,0,6102 FM 420,Kountze,TX,77625,N/A,bith_information@nps.gov,30.457983431,-94.386742115,"SPRING: Expect comfortable weather in Mar/Apr, with heat & humidity increasing in May. SUMMER: High heat, high humidity, and thunderstorms are common. Hurricane & tropical storm activity peaks in late summer. FALL: Early fall can be hot, while Oct/Nov bring pleasant temperatures. WINTER: Mild, chilly weather with occasional cold spells. Snow is rare, though Dec/Jan/Feb nights may dip below freezing.",0.0,0.0,0.0
bica,Bighorn Canyon National Recreation Area,0,0,Bighorn Canyon National Recreation Area South District Visitor Center,Lovell,WY,82431,N/A,BICA_media@nps.gov,45.13154227,-108.1443943,"North District: Semi-arid, receiving 18 to 20 inches of rain annually. South District: High-desert, receiving 6 to 10 inches of rain annually. Summer temperatures: Highs in the 80s (F) and 90s (F), lows in the 50s (F) and 60s (F). Summer temperatures can peak over 100 degrees. Winter temperatures: Range in the 20s and 30s with low temperatures averaging the 10s (F) and 20s (F). During the winter the thermometer can drop below 0 (F) with extreme wind chill factors.",0.0,0.0,0.0
blca,Black Canyon Of The Gunnison National Park,30.00,15.00,South Rim Visitor Center,Montrose,CO,81401,970-641-2337,blca_info@nps.gov,38.57779869,-107.7242756,"Today's Weather: http://www.weather.com/weather/today/l/NPBLCA:13:US CLIMATE Weather can vary greatly throughout the day. Summer daytime temperatures range between 55 to 90F (13 to 32C), nights 45 to 60F (7 to 16C). Winter daytime temperatures range between 15 to 40F (-9 to 4C), nights 10 to 20F (-12 to -6C). Afternoon thunderstorms are common during the summer. Snow accumulation varies greatly year to year. Layered clothing appropriate for the season is recommended.",20.0,2.1,4.35
blri,Blue Ridge Parkway,0,0,Milepost 384,Asheville,NC,28803,N/A,blri_info@nps.gov,35.5657195274,-82.486484587,"The weather on the parkway can vary widely along its 469-mile route. Precipitation is possible any time of the year. Winter can be cold and snowy, especially at the higher elevations. Spring and fall can have large temperature swings, from near freezing to over 80 degrees Fahrenheit. Summers are hot in the lower elevations, but the highest elevations remain cooler. Summertime thunderstorms are common, so be prepared for weather changes.",0.0,0.0,0.0
blue,Bluestone National Scenic River,0,0,3405 Pipestem Drive,Pipestem,WV,25979,N/A,neri_interpretation@nps.gov,37.56577087,-80.98366657,"Summer: Temperatures range from low to mid 60's at night to middle to upper 80's during the daytime hours. Winter: Temperatures average from the mid 20's to the mid 40's. Snowfall amount varies, but averages 5"" per month Dec. - March. Spring and Fall: temperatures and rainfall variable. Peak fall foliage is usually mid-October.",0.0,0.0,0.0
bowa,Booker T Washington National Monument,0,0,12130 Booker T. Washington Highway,Hardy,VA,24101,N/A,bowa_rangers_3@nps.gov,37.11520539,-79.73185833,Please contact the park at 540/721-2094 during inclement weather conditions to find out about closures.,0.0,0.0,0.0
boha,Boston Harbor Islands National Recreation Area,0,0,15 State Street,Boston,MA,02109,N/A,BOHA_Information@nps.gov,42.30905526,-70.93941138,"The Boston Harbor Islands have a humid maritime climate characterized by slightly cooler temperatures than the mainland, so dress in layers. Typical summer conditions feature air temperatures approximately 5-10 degrees cooler than the mainland between 60-80 Fahrenheit, winds of 0-15 knots and waves of 1-3 feet.",0.0,0.0,0.0
brca,Bryce Canyon National Park,35.00,30.00,Highway 63,Bryce,UT,84764,4358345322,brca_information@nps.gov,37.58399144,-112.1826689,"Due of its high elevation climate, weather at Bryce Canyon through autumn, winter, and spring can be highly variable. From October to May temperatures fall below freezing nearly every night. The park typically experiences its coldest and snowiest periods from December through February. Spring storms in March and April can still produce heavy snowfall that may impact travel in the region. Summer highs are typically in the 70s-80s F and afternoon thunderstorms are common in July and August.",28.0,2.5,4.428571428571429
buis,Buck Island Reef National Monument,0,0,2100 Church St. #100,"Christiansted, St. Croix",VI,00820,N/A,CHRI_Education@nps.gov,17.81026717,-64.6222179,Welcome to the tropics!,0.0,0.0,0.0
buff,Buffalo National River,0,0,170 Ranger Road,St. Joe,AR,72675,N/A,buff_information@nps.gov,36.04116481,-92.90761584,Summer in the Ozarks can be very hot and humid. Please check the weather forecast prior to your arrival and plan accordingly. The weather the rest of the year has the potential to be wet and cool or dry and warm. Please pay special attention to river levels and the rain forecast when planning a trip on the river. River levels can rise dramatically in a short period of time so please be aware of conditions.,0.0,0.0,0.0
cabr,Cabrillo National Monument,20.00,10.00,1800 Cabrillo Memorial Drive,San Diego,CA,92106,6195234285,cabr_info@nps.gov,32.6722503,-117.2415985,"Check the current weather from the National Weather Service at https://www.weather.gov/. San Diego's climate is characterized by warm, dry summers and mild winters, with most of the annual precipitation falling between December and March. The city has a mild climate year-round, with an average of 201 days above 70 °F (21 °C) and low rainfall (9–13 inches [230–330 mm] annually).",0.0,0.0,0.0
cali,California National Historic Trail,0,0,National Trails Office Regions 6|7|8,Santa Fe,NM,87505,N/A,ntir_information@nps.gov,42.3999643979,-108.702415369,"Due to the length of the California National Historic Trail, be sure to consult local weather sources for the region you'll be visiting. Check out the forecast with the National Weather Service and search for the area you'd like to visit: weather.gov",0.0,0.0,0.0
cane,Camp Nelson National Monument,0,0,6614 Danville Road Loop 2,Nicholasville,KY,40356,N/A,cane_info@nps.gov,37.7970179913,-84.598168306,"Kentucky has a moderate climate, where summers are humid with highs typically in the upper 80s, and winter highs are in the low 40s. Of course, be aware of the possibility of storms or more extreme temperatures on occasion. The wettest months are March - July when about 4 inches of rain per month are expected, with other months of the year are usually drier.",0.0,0.0,0.0
cana,Canaveral National Seashore,20.00,10.00,"Apollo Visitor Center,",New Smyrna Beach,FL,32169,3864283384,Ashley_Lord@nps.gov,28.78637529,-80.75419576,"Summer: Hot & humid (Temperatures average in the 90's) Winter months: Temperatures in the 40-70 degree range, with a ""cold spells"" where temps down to the low to mid-30's). Hurricane Season: June 1st through November 30th (most activity normally occurs in August or September)",0.0,0.0,0.0
cach,Canyon de Chelly National Monument,0,0,3 miles E of Highway 191 on Route 7,Chinle,AZ,86503,N/A,cach_interpretation@nps.gov,36.14319567,-109.3388303,"Canyon de Chelly is located at 5,500 feet. Spring is cool and windy; highs from 50 to 70; lows of 35 degrees. Expect dust storms and canyon flooding. Summer is hot and dry; highs from 85 to 100; lows of 51 degrees. Drink plenty of water outdoors. Fall is warm and often wet; highs from 60 to 80; lows of 40 degrees. Expect lightning, thunderstorms, and flash floods. Winter is cold and breezy; highs from 40 to 60; lows of 18 degrees. Expect 1-4 inches of snow and freezing nighttime temperatures.",0.0,0.0,0.0
cany,Canyonlands National Park,30.00,15.00,Island in the Sky - 33 miles from Moab on UT 313,Moab,UT,84532,435-719-2313,canyinfo@nps.gov,38.24555783,-109.8801624,"Canyonlands is part of the Colorado Plateau, a ""high desert"" region that experiences wide temperature fluctuations, sometimes over 40 degrees in a single day. The temperate (and most popular) seasons are spring (April-May) and fall (mid-September-October), when daytime highs average 60 to 80 F and lows average 30 to 50 F. Summer temperatures often exceed 100 F, making strenuous exercise difficult. Winters are cold, with highs averaging 30 to 50 F, and lows averaging 0 to 20 F.",38.0,2.6842105263157894,4.407894736842105
caco,Cape Cod National Seashore,25.00,15.00,50 Nauset Road,Eastham,MA,02642,508-255-3421,caco_information@nps.gov,41.92381465,-70.04319832,Cape Cod's weather is generally moderated by its proximity to the ocean. Winter is typically cold with some snow. Spring is often rainy. Summer is usually warm and humid. Fall is generally dry and clear.,0.0,0.0,0.0
caha,Cape Hatteras National Seashore,0,0,46375 Lighthouse Road,Buxton,NC,27920,N/A,caha_public_affairs@nps.gov,35.41370839,-75.65061112,The weather along the Outer Banks varies throughout the year and even throughout the day. Please check the National Weather Service information at http://www.weather.gov/mhx/ for forecast information.,0.0,0.0,0.0
cakr,Cape Krusenstern National Monument,0,0,171 3rd Ave,Kotzebue,AK,99752,N/A,wear_webmail@nps.gov,67.41499986,-163.5037786,"Snow, rain, and freezing temperatures can occur any time of the year. Always travel with good quality rain gear and warm layers. Be especially careful to stay dry. Hypothermia can set in on a windy, wet day, even when it doesn't feel that cold.",0.0,0.0,0.0
care,Capitol Reef National Park,20.00,10.00,52 West Headquarters Drive,Torrey,UT,84775,435-425-3791,care_information@nps.gov,38.2821653131,-111.247048378,Weather is posted daily; check at the park visitor center for weather updates. Do not enter into narrow canyons if there is a threat of rain or if rain has been falling in the area. Rain and snow may also make dirt roads impassable to vehicles.,29.0,2.6551724137931036,4.4655172413793105
cavo,Capulin Volcano National Monument,20.00,10.00,44 Volcano Road,Capulin,NM,88414,5752782201,cavo_interpretation@nps.gov,36.78171096,-103.9710427,"Elevations range from 7247 feet at the park visitor center to 8182 feet on the crater rim trail. Summers usually have mild temperatures with highs averaging in the low to mid 80s F/30C with occasional afternoon thunderstorms. Winters average from 40F/5C to 50F/10C, but temperatures vary. Snowfall is most common from December into April and may cause temporary closures of the volcano road. Sunny winter days are beautiful days to be in the park. Check weather conditions before visiting.",0.0,0.0,0.0
carl,Carl Sandburg Home National Historic Site,0.00,0.00,81 Carl Sandburg Lane,Flat Rock,NC,28731,8286934178,carl_administration@nps.gov,35.26815509,-82.45106258,Average Monthly Highs and Lows January - 45 / 25 February - 50 / 30 March - 55 / 35 April - 60 / 40 May- 70 / 60 June - 80 / 65 July - 85 / 65 August - 80 / 65 September - 75 / 55 October - 70 / 45 November - 60 / 35 December - 50 / 30,0.0,0.0,0.0
cave,Carlsbad Caverns National Park,0,0,727 Carlsbad Caverns Highway,Carlsbad,NM,88220,N/A,cave_park_information@nps.gov,32.14089463,-104.5529688,"Carlsbad Caverns National Park is located in the Chihuahuan Desert in southeast New Mexico. Summers are hot with temperatures between 90°F (32°C) and low 100s °F (38°C). Windy conditions and mild temperatures are common in early spring (March-May) with frequent rain in early fall (August-September). This part of the country also sees cold temperatures in the winter with occasional snow and icy conditions. Most days, the park is enveloped by a gorgeous blue sky with very few clouds, 278 sunny days a year!",2.0,1.0,4.5
cato,Catoctin Mountain Park,0,0,14707 Park Central Road,Thurmont,MD,21788,N/A,CATO_superintendent@nps.gov,39.65068457,-77.46417665,"Summer (June-Aug) average temperature is between 61 and 81 degrees Fahrenheit. Fall (Sep-Nov) average temperature is between 45 and 64 degrees Fahrenheit. Fall foliage is at its peak in mid-October Winter (Dec-Feb) average temperature is between 24 and 41 degrees Fahrenheit. Winter snowfall is between 5-12"" per month. Spring (March-May) average temperature is between 41 and 63 degrees Fahrenheit. Average precipitation is approximately 4 inches per month. (Source: usclimatedata.com)",0.0,0.0,0.0
cebr,Cedar Breaks National Monument,0,0,Cedar Breaks National Monument,Brian Head,UT,84719,N/A,cedarbreaksinfo@nps.gov,37.63545562,-112.845268,"Cedar Breaks sits at over 10,000 feet in elevation and is usually 10-20 degrees cooler than surrounding parks. Be prepared for cooler temperatures and unpredictable weather. Snow, sleet, and hail can occur at any time of the year, even in the summer! Summer-time highs are between 60 and 70°F and night-time lows dip to 30-40s°F. Thunderstorms frequently develop in the afternoons. Be aware of lightning and avoid exposed trails and overlooks until storms pass.",0.0,0.0,0.0
chcu,Chaco Culture National Historical Park,25.00,15.00,1808 CR 7950,Nageezi,NM,87037,5057867014,chcu_information@nps.gov,36.03963414,-107.9560076,"Summer highs are typically in the 80's to mid-90's. Thunderstorms can produce heavy localized downpours and sudden dramatic drops in temperatures. Winter temperatures will drop to well below freezing most nights. If you plan to camp in the winter, prepare for nighttime temperatures in the teens or lower. Spring and Fall are great times to visit with more moderate temperatures, but unexpected storms can change things dramatically. Monitor local weather forecasts.",0.0,0.0,0.0
cham,Chamizal National Memorial,0,0,800 South San Marcial Street,El Paso,TX,79905,N/A,cham_information@nps.gov,31.76729634,-106.4544011,"Chamizal National Memorial is open year-round, but periodic winter weather conditions may cause closure. Please check for alerts on the park website: www.nps.gov/cham. Thunderstorms typically occur during summer and early fall. There may be no shelter to avoid lightning, so please prepare by looking at weather forecasts and paying attention to developing weather conditions.",0.0,0.0,0.0
chis,Channel Islands National Park,0,0,1901 Spinnaker Drive,Ventura,CA,93001,N/A,chis_information@nps.gov,33.98680093,-119.9112735,"In general, the islands have a Mediterranean climate year-round. Temperatures are relatively stable, with highs averaging in the mid-60s (°F) and lows in the low-50s. However, there are seasonal differences that visitors should take into consideration when visiting the park. In addition, visitors also should be aware that ocean and weather conditions vary considerably from day-to-day and island-to-island. For more information visit: http://www.nps.gov/chis/planyourvisit/weather.htm",11.0,2.6363636363636362,4.454545454545454
chpi,Charles Pinckney National Historic Site,0,0,1254 Long Point Road,Mount Pleasant,SC,29464,N/A,chpi_information@nps.gov,32.84577392,-79.82487582,Winters are generally mild. Summers are hot and humid.,0.0,0.0,0.0
chat,Chattahoochee River National Recreation Area,0,0,8800 Roberts Drive,Sandy Springs,GA,30350,N/A,chat_superintendent@nps.gov,33.99698333,-84.28953177,"Summers typically consist of long spells of warm, humid weather. Average highs are in the lower 90's and overnight lows range from the upper 60's to lower 70's. Winters are more variable with highs averaging from the mid 50's to lower 60's while the lows average in the mid 30's. Oftentimes, stretches of mild weather will alternate with cold spells. Spring and Autumn seasons are characterized by much variability from day to day and from year to year.",0.0,0.0,0.0
choh,Chesapeake & Ohio Canal National Historical Park,20.00,10.00,142 W. Potomac St.,Williamsport,MD,21795,301-739-4200,CHOH_Information@nps.gov,39.000283692,-77.2481399539,"The Washington, DC, area has a four-season Mid-Atlantic climate. Summertime is warm and humid, while winter can be cold and snowy. Precipitation averages 2-4” monthly, year-round. The climate gradually gets cooler and wetter further west along the canal where the elevation is higher.",0.0,0.0,0.0
chch,Chickamauga & Chattanooga National Military Park,10.00,0.00,3370 LaFayette Road,Fort Oglethorpe,GA,30742,706-866-9241,chch_information@nps.gov,34.94317623,-85.28749537,"The climate in northern Georgia is generally temperate. Short, cool winters give relief from hot summers. Most visitors enjoy this area during long, mild fall and spring seasons.",0.0,0.0,0.0
chic,Chickasaw National Recreation Area,0,0,901 W. 1st Street,Sulphur,OK,73086,N/A,ron_parker@nps.gov,34.46050507,-97.00715669,"Summers are hot and humid. Temperatures above 100ºF occur, and humidity often exceeds 50%. Winters are mild and prolonged freezes are rare. Thunderstorms are common April through July.",0.0,0.0,0.0
chir,Chiricahua National Monument,0,0,12856 E Rhyolite Creek Rd,Willcox,AZ,85643,N/A,chir_interpretation@nps.gov,32.01214618,-109.341607,"Chiricahua National Monument ranges from 5,124 feet / 1,562 meters in elevation at the entrance station to 7,310 feet / 2,228 meters at the summit of Sugarloaf Mountain. You can enjoy the differences of four seasons. http://www.nps.gov/chir/planyourvisit/weather.htm",0.0,0.0,0.0
ciro,City Of Rocks National Reserve,0,0,City of Rocks National Reserve,Almo,ID,83312,N/A,ciro_superintendent@nps.gov,42.0699024,-113.7124097,"City of Rocks is located in south-central Idaho within the northern edge of the Basin and Range geologic province. Outdoor recreation can be pleasant from April through October. Summers are generally dry with 10 to 15 inches of precipitation in winter and spring. Summer temperatures range widely with night time lows occasionally approaching freezing and midday highs nearing 100° F; however, the typical range of low and high temperature is 45-85. Thunderstorms are common in the summer months (June - August)",0.0,0.0,0.0
cwdw,Civil War Defenses of Washington,0,0,Civil War Defenses of Washington,Washington,DC,20012,N/A,kenya_finley@nps.gov,38.9644,-77.0292,"Civil War Defenses of Washington sites will be open. For Updates, visit the parks alert section of the website.",0.0,0.0,0.0
colm,Colorado National Monument,25.00,15.00,1750 Rim Rock Drive,Fruita,CO,81521,9708582800,colm_info@nps.gov,39.05045016,-108.6920709,"Spring - Daytime high temperatures 70-85 F (21-30 C), nighttime low temperature 30-50 F (-1 - +10 C). Summer - Daytime high temperatures can reach 100 F (38 C), afternoon thunderstorms common. Fall - Similar to spring temperatures, sudden changes in weather common. Snow can occur in October. Winter - Daytime highs vary from 10 - 45 F (-12 - +7 C). Snow common, patches of snow and ice stay around most of the winter.",0.0,0.0,0.0
cong,Congaree National Park,0,0,100 National Park Road,Hopkins,SC,29061,N/A,cong_information@nps.gov,33.79187523,-80.74867805,"Check the forecast before getting on the road. Conditions can change rapidly within the park. Flooding can happen with little or no warning, so make sure to check water levels for Cedar Creek and the Congaree River.",6.0,1.0,3.8333333333333335
coro,Coronado National Memorial,0,0,4101 E Montezuma Canyon Road,Hereford,AZ,85615,N/A,coro_interpretation@nps.gov,31.34900397,-110.2561574,"Though the park shares a border with our southern neighbors, the elevation and the mountain ecosystem keep Coronado National Memorial relatively cool in the summer, and winter can bring snow. Summers are warm, with daytime temps in the 90s F (32-37 C) and low humidity in May, June, and July. The summer rainy season (monsoon) is between late June and early September. Monsoon thunderstorms can cause flash floods. Winter temps can fall below freezing at night, with highs 40-60 F (4-15 C).",0.0,0.0,0.0
crla,Crater Lake National Park,30.00,25.00,Crater Lake National Park,Crater Lake,OR,97604,5415943000,craterlake@nps.gov,42.94065854,-122.1338414,"Summers at Crater Lake are short but sunny. July, August, and September are your best bets for warm, dry weather. In May, June, and October, sunny days alternate with periods of rain and snow. Winters at Crater Lake are long and snowy. Storms from the Pacific Ocean dump an annual average of 41 feet (13.5 meters) of snow at park headquarters.",18.0,2.111111111111111,4.25
crmo,Craters Of The Moon National Monument & Preserve,20.00,15.00,Craters of the Moon National Monument,Arco,ID,83213,2085271300,crmo_information@nps.gov,43.20345611,-113.4791609,"Weather at Craters of the Moon is characterized by hot summers and cold winters. In February, average snow depth ranges from 26 inches at the north end of the monument to just 2 inches at the south end. Intense summer sun bakes the black lava, generating surface temperatures of 170°F and air temperatures in the 90s. Drying winds are a daily occurrence, especially in the afternoon, and may reach 15 to 30 miles per hour.",0.0,0.0,0.0
cuga,Cumberland Gap National Historical Park,0,0,91 Bartlett Park Road,Middlesboro,KY,40965,N/A,cuga_interpretation@nps.gov,36.62503076,-83.6114083,"Summers at Cumberland Gap are hot and humid, with temperatures commonly in the mid to upper 90s. Winters are generally mild with rain and some periods of snow January through March. Temperatures usually range in the 30s and 40s. Weather can sometimes be unpredictable, especially at higher elevations.",0.0,0.0,0.0
