park_code,num_of_trails,avg_difficulty,avg_rating,park_name,fee_per_car,fee_per_person,street_address,city,state,zip,phone,email,lat,lng,weather_summary
gumo,15.0,3.8,4.4,Guadalupe Mountains National Park,0.0,0.0,400 Pine Canyon,Salt Flat,TX,79847,0,gumo_information@nps.gov,31.92304462,-104.885527,"The Guadalupe Mountains are known for high winds year-round; gusts can reach 60MPH or higher. In winter the mountains experiences occasional, light snowfalls which seldom last more than a day. From May through October, temperatures vary with highs between 80F-100F+ with lows in the 40F-60F range. November to April is generally milder with highs in between 50F-70F with lows in the 30F-50F range. Elevations above 8,000’ will be about 10F cooler than headquarters, with corresponding wind-chill."
hosp,15.0,2.7333333333333334,3.966666666666667,Hot Springs National Park,0.0,0.0,369 Central Avenue,Hot Springs,AR,71901,5016206715,hosp_park_information@nps.gov,34.52414366,-93.06332936,"Average temperatures in Hot Springs can range from about 90°F (32°C) to less than 27°F (-2.7°C). Summer days can be hot and humid, with heat index values up to 110ºF (43ºC). Winter wind chills can make temperatures feel much colder, as low as 15ºF (-9.4ºC). Spring and fall typically have the most rainfall. Generally, Hot Springs experiences mild weather throughout the year."
indu,10.0,2.0,4.2,Indiana Dunes National Park,20.0,15.0,1215 SR-49,Porter,IN,46304,2193951882,indu_communications@nps.gov,41.63765525,-87.09647445,"On average, the warmest month is July and the highest recorded temperature was 105F in 1934. The coolest month is January, with the lowest recorded temperature of -25F in 1985. June sees the most precipitation with an average rainfall of 4.66 Inches."
isro,1.0,5.0,4.0,Isle Royale National Park,0.0,0.0,800 East Lakeshore Drive,Houghton,MI,49931,0,isro_parkinfo@nps.gov,48.01145819,-88.82780657,"Isle Royale National Park is a remote island wilderness in the middle of Lake Superior. Weather influences traveling to and from the island, as well as your trip once you arrive. For the most up-to-date weather information, call (906) 482-0984 or email isro_parkinfo@nps.gov prior to your trip."
jotr,59.0,2.5254237288135593,4.322033898305085,Joshua Tree National Park,30.0,15.0,74485 National Park Drive,Twentynine Palms,CA,92277-3597,7603675500,jotr_info@nps.gov,33.91418525,-115.8398125,"Days are typically clear with less than 25% humidity. Temperatures are most comfortable in the spring and fall, with an average highs around 85°F (29°C) and average lows around 50°F (10°C) respectively. Winter brings cooler days, around 60°F (15°C), and freezing nights. It occasionally snows at higher elevations. Summers are hot, over 100°F (38°C) during the day and not cooling much below 75°F (24°C) at night."
kefj,2.0,3.0,4.75,Kenai Fjords National Park,0.0,0.0,411 Washington Street,Seward,AK,99664,0,kefjinformation@nps.gov,59.81804414,-150.106502,"The weather Kenai Fjords is difficult to predict and can change rapidly. The area generally enjoys a relatively temperate maritime climate, primarily due to the influence of the Japanese current that flows through the Gulf of Alaska. Summer daytime temperatures range from the mid 40s to the low 70s (Fahrenheit). Overcast and cool rainy days are frequent. Winter temperatures can range from the low 30s to -20."
lavo,32.0,2.6875,4.390625,Lassen Volcanic National Park,10.0,25.0,38050 Highway 36 East,Mineral,CA,96063,5305954480,lavo_information@nps.gov,40.49354575,-121.4075993,"Weather at Lassen can vary dramatically throughout the year. Average January temperatures are a high of 40.4 °F (4.7 °C) and a low of 20.8 °F (-6.2 °C). Average July temperatures are a high of 88.4 °F and a low of 49.8 °F. Temperatures reach 90 °F or higher on an average of 36.9 days, and drop to 32 ° or lower on an average of 164 days days annually."
maca,21.0,1.8571428571428572,3.9047619047619047,Mammoth Cave National Park,0.0,0.0,1 Visitor Center Parkway,Mammoth Cave,KY,42259-0007,0,maca_information@nps.gov,37.19760458,-86.13090198,"Kentucky has a moderate climate with warm, yet moist conditions. Summers average in the high 80s; winters average in the low 40s. Southern Kentucky, where Mammoth Cave is located, receives the highest average precipitation for the state, about 50 inches per year, mostly in spring. Winter can bring mild to moderate snow and ice. Storms happen year-round, and can include tornadoes and flooding in low-lying areas, but severe weather is infrequent. The temperature deep in the cave is a constant 54°F (12°C)."
meve,17.0,1.7058823529411764,4.205882352941177,Mesa Verde National Park,30.0,15.0,Mile .7 Headquarters Loop Road,Mesa Verde National Park,CO,81330,970-529-4465,meve_general_information@nps.gov,37.23908345,-108.4624032,"Spring: Temps range from 40 F to 70 F, but snowstorms can occur as late as May. Summer: Temps can reach well into the 90s F. Thunderstorms are common in July and August. Be prepared to bring and DRINK plenty of water. Fall: Temps can range from 50 F to 75 F. Snowstorms can occur as early as October. Winter: Temps can range from the teens to low 30s F. Icy roads are common. Snow tires, all-wheel drive, or chains, may be required. Be prepared with water, snacks, and layers of warm clothing."
mora,106.0,3.0943396226415096,4.452830188679245,Mount Rainier National Park,30.0,25.0,55210 238th Avenue East,Ashford,WA,98304,3605692211,morainfo@nps.gov,46.86075416,-121.7043885,"Weather patterns at Mount Rainier are strongly influenced by the Pacific Ocean and elevation. The climate is generally cool and rainy, with summer highs in the 60s and 70s. While July and August are the sunniest months of the year, rain is very likely in spring, fall, and winter. Visitors should be aware that mountain weather is very changeable. In the higher elevations, like Paradise, winter can last from November to May with many feet of snow on the ground."
noca,10.0,3.8,4.45,North Cascades National Park,0.0,0.0,810 State Route 20,Sedro-Woolley,WA,98284,0,noca_information@nps.gov,48.71171756,-121.2069423,The best weather for visiting the North Cascades generally occurs between mid-June and late-September. Summer daytime temperatures average in the 70's F. Snow is off most trails by mid-July. Autumn and Spring are popular for color and wildlife. Storms are common: always be prepared for a few days of rain and wind. The east side of the Cascade Mountains (Lake Chelan National Recreation Area) is drier and warmer in the summer than the west side. Summer temperatures at Stehekin reach the 90's F.
olym,101.0,3.3564356435643563,4.425742574257426,Olympic National Park,30.0,15.0,Olympic National Park Visitor Center,Port Angeles,WA,98362,3605653130,olym_visitor_center@nps.gov,47.80392754,-123.6663848,"Summers tend to be fair and warm, with high temperatures between 65 and 75 degrees F. July, August and September are the driest months, with heavier precipitation during the rest of the year. While winters are mild at lower elevation, snowfall can be heavy in the mountains. It is common for different weather conditions to exist within the park at the same time. At any time of year, visitors should come prepared for a variety of conditions."
pefo,12.0,1.5,4.208333333333333,Petrified Forest National Park,25.0,20.0,Exit 311,Petrified Forest,AZ,86028,9285246228,PEFO_information@nps.gov,34.98387664,-109.7877678,Petrified Forest National Park is a semi-arid grassland. Temperatures range from above 100° F (38° C) to well below freezing. About 10 inches (25.4 cm) of moisture comes during infrequent snow in the winter and often dramatic summer thunder-storms. Animals and plants are adapted to extremes in temperature and moisture. You should be ready too. Check out the forecast before you arrive and plan accordingly.
pinn,18.0,3.6666666666666665,4.444444444444445,Pinnacles National Park,30.0,15.0,5000 East Entrance Road,Paicines,CA,95043,8313894486,pinn_visitor_information@nps.gov,36.49029208,-121.1813607,"Pinnacles National Park has a Mediterranean climate with hot, dry summers, and mild winters with moderate precipitation. The park is several miles inland from the Pacific Ocean. A wider variation in seasonal temperatures can be expected in the local area. Summers are hot with temperatures above 100 degrees. Winters are cooler with highs in the 60s. Big swings in temperature occur between day and night, year round."
redw,13.0,2.6923076923076925,4.423076923076923,Redwood National and State Parks,0.0,8.0,1111 Second Street,Crescent City,CA,95531,7074646101,redw_info@nps.gov,41.37237268,-124.0318129,"Visitors should be prepared for cooler and damp weather. Dress in layers and expect to get wet. Year-round temperatures along California's redwood coast: mid-40s°F (7°C) to mid-60s°F (18°C). Summer can be foggy, with highs occasionally reaching low 70s°F (20°C). Winters are cooler with considerable rain. October through April averages 60-80 inches of rain over the region."
romo,149.0,3.1879194630872485,4.483221476510067,Rocky Mountain National Park,30.0,25.0,1000 US Hwy 36,Estes Park,CO,80517,9705861206,romo_information@nps.gov,40.3556924,-105.6972879,"Winter (Dec–Mar): cold weather, deep snow at higher elevations, and seasonal closures of facilities and roads. Spring (April–May): unpredictable weather, with a mix of warm sunny days and cool days with heavy snow and rain. Many trails are still snow-covered. Trail Ridge Road opens in late May. Summer (Jun–Aug): warmer weather, thunderstorms, and wildflowers. Most park roads and facilities are open. Fall (Sep–Nov): crisp air, blue skies, fall colors, and the elk rut. Trail Ridge Road closes mid-October."
sagu,43.0,2.395348837209302,4.174418604651163,Saguaro National Park,25.0,20.0,3693 S Old Spanish Trail,Tucson,AZ,85730,5207335153,sagu_information@nps.gov,32.20909636,-110.7574974,"Winter Season With daytime temperature from the low 50's to the high 70's Summer Season As we get deeper into the summer season, temperatures will range from mid-90's to low 110's. This is a great time to experience the desert as the day breaks or in the late of the day as the sun disappears behind the surrounding mountain ranges. During the late spring and summer months Saguaro National Park only offers interpretive programs on an intermittent basis."
seki,76.0,3.026315789473684,4.526315789473684,Sequoia & Kings Canyon National Parks,35.0,20.0,47050 Generals Highway,Three Rivers,CA,93271,5595653341,SEKI_information@nps.gov,36.71277299,-118.587429,"Because of the extreme elevation range in these parks, weather conditions vary widely between areas. In summer, the sequoia groves have comfortable temperatures and the foothills are hot and dry. Snow lingers on high-mountain passes well into summer. In fall, some areas close or reduce their hours. Winter brings snow to sequoia groves and rain to the foothills. Be prepared for tire chain requirements. Spring is a great time to hike in the foothills and snow begins to melt at higher elevations."
shen,121.0,2.8512396694214877,4.194214876033058,Shenandoah National Park,30.0,15.0,Shenandoah National Park,Luray,VA,22835,5409993500,shen_info@nps.gov,38.49236644,-78.46907715,"Shenandoah National Park has four very distinct seasons. Spring typically brings mild temperatures, rain, and wildflowers. Summer brings lush green forests, but can be hot and very humid. Fall follows with cooler temperatures and spectacular fall foliage. Winter can bring snow and ice. The park spans roughly 100 miles, which means that weather can vary greatly depending on your location. The mountain is usually 10°F cooler than the valley below. Always check the forecast, dress in layers, and be prepared."
thro,15.0,2.7333333333333334,4.3,Theodore Roosevelt National Park,30.0,15.0,315 Second Avenue,Medora,ND,58645,7016234466,thro_interpretation@nps.gov,47.17777274,-103.4300083,"In winter, some or all park roads may be closed due to snow."
voya,3.0,1.6666666666666667,3.8333333333333335,Voyageurs National Park,0.0,0.0,Voyageurs National Park Headquarters,International Falls,MN,56649,0,VOYA_info@nps.gov,48.48370609,-92.8382913,"There are four distinct seasons in Voyageur country. The air is temperate during June, July, and August when periods of fine, mild weather prevail. The frost-free season averages 120 days from June to mid-September. The average ice-out date is May 3 but varies year to year. Annual precipitation (rain and snow) averages 25-28 inches in the park and snowfall ranges from 55-70 inches, but is highly variable. The first measurable snowfall occurs in late October and the last in late April or early May."
wica,8.0,2.25,4.1875,Wind Cave National Park,0.0,0.0,26611 US Highway 385,Hot Springs,SD,57747,0,WICA_interpretation@nps.gov,43.58012365,-103.4394709,"Spring: Highs range from 50-70°F with highly variable weather. Spring is the park's wettest season. Summer: Hot and generally dry with daytime temperatures regularly exceeding 80°F (27°C). Strong thunderstorms are common and can produce large hail and lightning. Fall: Generally dry with warm days and cool nights. Highs 50-60°F. Lows below freezing are common. Winter: Highs are in the high 30s with lows around 10°F. Snowfall averages 30 inches annually, periodically closing park roads."
wotr,1.0,1.0,4.5,Wolf Trap National Park for the Performing Arts,0.0,0.0,1551 Trap Road,Vienna,VA,22182-1643,0,wotr_interp@nps.gov,38.93854526,-77.265089,"The weather at Wolf Trap National Park for the Performing Arts is typical for the mid-Atlantic area. There are four seasons. The majority of visitation is during the summers, which can be hot and humid during the day and cooler at night."
yell,123.0,2.2195121951219514,4.341463414634147,Yellowstone National Park,35.0,20.0,2 Officers Row,Yellowstone National Park,WY,82190,307-344-7381,YELL_Information@nps.gov,44.59824417,-110.5471695,"Yellowstone's weather can vary quite a bit, even in a single day. In the summer, daytime highs can exceed 70°F (21°C), only to drop 20 or more degrees when a thunderstorm rolls through. It can snow during any month of the year, and winter lows frequently drop below 0°F (-18°C), especially at night. Bring a range of clothing options, including a warm jacket and rain gear, even in the summer."
yose,127.0,3.440944881889764,4.590551181102362,Yosemite National Park,35.0,20.0,9039 Village Drive,Yosemite,CA,95389,209/372-0200,yose_web_manager@nps.gov,37.84883288,-119.5571873,"Yosemite National Park covers nearly 1,200 square miles (3,100 square km) in the Sierra Nevada, with elevations ranging from about 2,000 feet (600 m) to 13,000 ft (4,000 m). Yosemite receives 95% of its precipitation between October and May (and over 75% between November and March). Most of Yosemite is blanketed in snow from about November through May. (Yosemite Valley can be rainy or snowy in any given winter storm.)"
zion,65.0,3.0,4.323076923076923,Zion National Park,35.0,20.0,Zion National Park,Springdale,UT,84767,435-772-3256,zion_park_information@nps.gov,37.29839254,-113.0265138,"Zion is known for a wide range of weather conditions. Temperatures vary with changes in elevation and day/night temperatures may differ by over 30°F. In summer, temperatures in Zion National Park often exceed 100°F/38°C. Zion experiences monsoons from mid-July into September that result in an increased risk of flash floods. Always be aware of the threat of storms and lightning and be prepared for a wide range of weather conditions. Winters are generally mild."
agfo,0.0,0.0,0.0,Agate Fossil Beds National Monument,0.0,0.0,301 River Road,Harrison,NE,69346,0,agfo_ranger_activities@nps.gov,42.42170419,-103.753886,"Summers can be very warm, high 90's to 100 with the frequent afternoon thunderstorms. Plan to hike early and come down from the higher points if storms threaten. Winter temperatures can dip as low as -20 with snow and wind. Heaviest snows can be expected in late Spring."
alka,0.0,0.0,0.0,Ala Kahakai National Historic Trail,0.0,0.0,Superintendent,Kailua-Kona,HI,96740,0,aric_arakaki@nps.gov,19.144668109,-155.890734294,"Hawaiʻiʻs coast is generally sunny and hot. Be prepared with sun protection (hat, mineral-based sunscreen, sunglasses and long sleeves) and water (minimum 2 liters of water per person per day for short hikes). Before visiting the Trail, check weather forecasts and follow all warnings and advisories: - https://www.weather.gov/hfo/ - www.hawaiicounty.gov/active-alerts"
alfl,0.0,0.0,0.0,Alibates Flint Quarries National Monument,0.0,0.0,37084 Alibates Rd.,Potter County,TX,79036,0,lamr_interpretation@nps.gov,35.5819662,-101.6717008,"The Texas Panhandle experiences a wide variety of weather conditions throughout the year. Winters are cold and windy, and summers are hot and dry. It is usually a good idea to bring a jacket with you if you are planning on hiking to the quarries with a ranger because the mesa gets very windy, even in the summer."
alpo,0.0,0.0,0.0,Allegheny Portage Railroad National Historic Site,0.0,0.0,110 Federal Park Road,Gallitzin,PA,16641,0,alpo_interpretation@nps.gov,40.42977467,-78.57431622,"The park is located in Cambria County, PA, and is at the summit of the Allegheny Mountains. Therefore, the park often takes on winter extremes. If planning on traveling from a long distance, please contact the park beforehand to ensure that the facilities are open. Please consult weather forecasts to ensure conditions are safe to travel in. Spring, summer, and fall are generally uneventful, but severe thunderstorms can occur."
amis,0.0,0.0,0.0,Amistad National Recreation Area,0.0,0.0,10477 Highway 90 West,Del Rio,TX,78840,0,amis_interpretation@nps.gov,29.53539777,-101.075821,"Weather in Southwest Texas can change in a matter of minutes. It is best to check the local weather report. Amistad National Recreation Area usually has hot summers and mild winters. For more information, please visit our Current Conditions page at https://www.nps.gov/amis/planyourvisit/conditions.htm."
ania,0.0,0.0,0.0,Aniakchak National Monument & Preserve,0.0,0.0,"1000 Silver St., Bldg. 603",KIng Salmon,AK,99613,0,KATM_Visitor_Information@nps.gov,56.85317675,-157.5544362,"When you visit, be prepared to encounter all types of weather. On average, wet and cool conditions predominate in spring, summer, and fall. Strong winds can delay the departure and arrival of boats and floatplanes."
anti,0.0,0.0,0.0,Antietam National Battlefield,10.0,0.0,5831 Dunker Church Rd.,Sharpsburg,MD,21782,3014325124,anti_info@nps.gov,39.46763452,-77.73828017,The weather is fairly mild. Summers can be very warm and humid and winters cold and snowy. We have four distinct seasons with the fall and spring being the best times to visit the battlefield.
apis,0.0,0.0,0.0,Apostle Islands National Lakeshore,0.0,0.0,415 Washington Avenue,Bayfield,WI,54814,0,apis_information@nps.gov,46.96240467,-90.66045665,"Lake Superior is renowned for its cold temperatures, rough seas, fog, and sudden squalls. Boaters and paddlers should monitor marine weather forecasts and be constantly alert to changing conditions. Average daytime high temperatures range from 60 degrees Fahrenheit in May, to the upper 80s in mid-summer, to the mid-60s in September. Average lows vary from 40 degrees in May, to the upper 50s in mid-summer, to 50 degrees in September. Average water temperatures in May and June are only in the 40s."
appa,0.0,0.0,0.0,Appalachian National Scenic Trail,0.0,0.0,Appalachian Trail Park Office,Harpers Ferry,WV,25425,0,0@0,40.41029575,-76.4337548,"It is your responsibility to be prepared for all weather conditions, including extreme and unexpected weather changes year-round. As the trail runs from Georgia to Maine there will be different weather conditions depending on your location. For weather along specific sections of the trail and at specific shelters, please refer to: http://www.atweather.org/"
apco,0.0,0.0,0.0,Appomattox Court House National Historical Park,0.0,0.0,Appomattox Court House National Historical Park,Appomattox,VA,24522,0,APCO_SocialMedia@nps.gov,37.38022164,-78.79856982,"The park may close due to emergency weather conditions (typically snow or ice). For updated information about possible closure or altered hours due to weather, please call 434-352-8987 ext. 245."
